"X"	"PD_3_VTA"	"PD_4_SNc"	"PD_5_SNc"	"PD_4_VTA"	"PD_2_SNc"	"PD_5_VTA"	"PD_3_SNc"	"PD_1_SNc"	"PD_1_VTA"
"LEF1"	0	0	0	0	0	0	1	0	0
"FOXJ2"	13	1	18	0	7	0	12	50	0
"MIR3123"	0	0	0	0	0	0	0	0	0
"ZNF654"	40	3	17	4	68	0	17	54	6
"TAL1"	0	0	0	0	0	0	0	0	0
"LOC728323"	0	0	0	0	0	0	0	0	0
"ZMYM2"	332	63	207	71	313	59	33	68	71
"CACNA1I"	0	0	0	0	0	0	0	0	0
"DCAF6"	12	44	34	20	66	17	32	4	30
"PDP1"	120	0	38	2	57	25	14	34	100
"ZNF302"	127	9	21	21	19	2	51	103	46
"HPR"	0	0	0	2	0	0	0	0	0
"TMED4"	75	18	95	22	60	36	8	42	111
"SLC5A6"	35	0	23	3	27	11	20	8	9
"PLSCR1"	0	0	9	1	1	25	2	0	1
"RPL41"	0	0	7	4	0	0	2	21	0
"MARK1"	136	24	77	93	145	36	37	48	163
"TMSB10"	484	23	131	36	106	18	107	53	17
"HES6"	14	0	0	0	15	0	9	2	16
"CACNA2D3"	3	0	19	0	27	1	1	27	44
"PDLIM1"	0	0	0	0	0	0	0	0	0
"KLB"	0	0	0	0	0	0	0	0	0
"MTMR3"	4	0	10	0	12	0	0	4	5
"LOC100506804"	0	0	0	0	0	0	0	0	0
"INPP4B"	46	2	114	61	53	21	11	9	21
"PSMD4"	35	2	46	29	36	6	55	40	28
"DPM2"	91	7	13	40	52	0	70	14	15
"DCAF5"	13	10	17	11	49	10	43	20	43
"PTPN1"	5	0	2	0	0	1	6	6	54
"POLE2"	0	0	6	0	0	2	0	0	14
"POU6F1"	34	0	6	0	14	0	2	54	3
"IL18R1"	0	0	0	0	0	0	0	0	0
"POU5F1"	0	0	0	0	0	0	0	0	0
"PITPNA"	313	11	54	34	30	1	74	44	28
"PIN4"	15	0	7	3	5	2	5	3	7
"PIK3CB"	297	8	59	36	124	26	77	22	40
"P2RY2"	0	0	0	0	0	0	0	3	0
"DUOX1"	0	0	0	0	0	0	0	0	2
"PSMD13"	41	0	137	3	97	11	92	28	26
"FAM131C"	13	0	12	0	1	0	0	0	1
"CBFA2T3"	22	0	0	0	1	0	0	0	11
"PSG8"	0	0	0	0	0	0	0	0	0
"CHRNA1"	0	0	0	0	0	0	0	0	0
"CTAGE5"	0	0	0	0	0	0	0	0	0
"KAT5"	0	0	1	0	0	0	0	0	0
"CREM"	27	0	27	5	37	0	27	10	31
"CLEC4A"	0	0	0	0	0	0	0	0	0
"BTN3A1"	30	0	1	0	1	6	0	14	8
"RNF212"	0	0	0	0	20	9	1	0	3
"FILIP1L"	0	0	0	0	0	3	1	1	0
"VAPA"	492	52	211	65	156	100	147	296	371
"FGFR1OP"	3	22	77	3	47	2	2	2	26
"RNF41"	233	13	104	23	43	2	50	35	44
"AMELX"	0	0	0	0	0	0	0	0	0
"ARL13B"	0	0	40	0	0	0	0	10	0
"RNF38"	29	1	61	17	43	20	59	32	5
"PIK3R3"	11	3	8	4	105	13	26	10	5
"ZNF30"	25	0	17	0	3	0	0	0	1
"TMSB15B"	0	0	0	0	0	0	0	1	0
"CLEC10A"	0	0	0	0	0	0	0	0	0
"WASH1"	0	0	0	0	0	0	0	0	0
"SCARF2"	0	2	0	0	0	0	0	0	0
"VSX2"	0	0	0	0	0	0	0	0	0
"EIF5"	507	60	274	159	281	128	76	242	460
"LOC100505915"	0	0	0	0	0	0	0	0	0
"SHC1"	0	0	0	1	0	0	1	0	0
"LYPD6"	0	0	0	1	0	0	6	0	0
"UBE2J2"	5	9	38	0	35	0	60	50	18
"CCNB1IP1"	2	0	8	0	13	0	7	0	5
"KIF24"	0	0	0	0	0	0	0	0	0
"ESPNL"	0	0	0	0	0	0	0	0	0
"SPATA24"	0	0	0	0	0	0	0	0	0
"CCDC108"	0	0	0	0	0	0	0	0	0
"SCARA3"	0	0	0	0	0	0	18	0	0
"RASSF5"	114	0	46	5	63	26	12	51	40
"TMEM65"	109	0	4	2	4	0	26	32	40
"RALGAPA1"	68	21	64	40	53	4	34	6	77
"CCDC129"	0	0	0	0	0	0	0	2	0
"PIK3R1"	11	7	62	58	40	3	26	43	26
"SRRM4"	50	0	63	0	59	6	11	40	5
"CLDN23"	0	0	0	0	0	0	0	0	0
"PLTP"	0	0	0	0	0	0	3	0	2
"ATF4"	190	11	51	36	46	3	109	57	37
"INO80C"	12	3	24	3	2	15	4	0	1
"PLCB4"	351	50	157	226	337	71	188	394	672
"TMEM219"	197	20	82	105	18	0	68	37	106
"LOC101928804"	0	0	0	0	0	0	0	0	0
"RBPMS2"	0	0	0	0	0	0	0	0	0
"RNF34"	181	32	38	48	111	45	27	100	93
"MCM8"	20	0	0	0	11	0	1	0	0
"PAIP1"	36	3	15	10	10	0	10	2	17
"GPR151"	0	0	0	0	0	0	0	0	0
"CDCA2"	0	0	14	0	0	0	0	0	0
"SLC6A15"	308	47	94	10	263	9	31	62	54
"MCL1"	20	8	19	4	4	13	31	13	11
"MACC1"	0	0	2	0	0	0	2	3	1
"SLC25A25-AS1"	0	0	0	0	0	0	0	0	7
"SRI"	199	6	17	0	23	67	24	41	98
"FAM26D"	0	0	0	0	0	0	0	0	0
"VWA2"	0	0	0	0	0	0	0	0	0
"TFEB"	0	0	0	0	0	0	0	0	0
"RYR2"	9	1	1	15	0	0	9	2	5
"DDX42"	107	24	60	18	136	13	27	5	43
"P2RX7"	0	0	0	0	0	0	0	1	9
"LINC00511"	0	0	0	0	0	0	0	0	0
"MROH6"	15	0	5	0	0	0	0	0	0
"KNG1"	7	20	12	9	10	1	4	8	8
"ITIH4"	0	6	15	0	16	0	1	0	1
"TNIP1"	44	0	30	4	16	2	58	66	0
"EXTL2"	146	24	155	78	175	50	56	45	143
"SFTPB"	0	0	0	0	0	0	3	0	0
"SAG"	0	0	0	0	0	0	0	0	1
"MIR4251"	0	0	0	0	0	0	0	0	0
"GSTT2B"	0	0	0	0	0	0	0	0	0
"MYB"	0	0	0	0	0	0	0	0	0
"NKX1-2"	0	0	0	0	0	0	0	0	0
"IRAK4"	2	0	1	0	0	0	6	0	0
"GYPA"	0	0	0	0	0	0	0	0	0
"GUCA1B"	0	0	0	0	0	0	0	0	0
"HAL"	0	0	0	0	7	0	0	0	2
"ITGA7"	0	0	0	0	17	0	2	0	1
"H2AFZ"	232	8	15	14	59	11	25	26	7
"ABCE1"	84	0	48	10	28	3	20	3	32
"GPN1"	93	0	26	18	1	0	19	20	3
"MORF4L2"	1691	23	898	191	439	412	328	269	1157
